id,bbl,bin,street_number,street_name,borough,zipcode,on_covered_buildings_list,dof_benchmarking_status,site_eui,weather_normalized_site_eui,source_eui,weather_normalized_source_eui,indoor_water_intensity,reported_water_method,energy_star_score,total_ghg_emissions,direct_ghg_emissions,indirect_ghg_emissions,property_floor_area,primary_property_type
10019,1004560007,1087255,285,bowery,manhattan,10003,yes,in compliance,100.8,0,106.1,0,64.88,abs,78,1124.2,1121.8,2.4,209910,multifamily housing
10020,1004570028,1087698,21,2 avenue,manhattan,10003,yes,in compliance,182.3,176.1,323.8,317.7,0,none,1,1250.7,683,567.7,108079,multifamily housing
10021,1010817502,1087777,500,west 53 street,manhattan,10019,yes,in compliance,145.9,142.4,239.4,235.9,0,none,2,2332.5,1444.3,888.2,259737,multifamily housing
10022,1010807501,1087481,510,west 52 street,manhattan,10019,yes,in compliance,120.1,115,184.5,179.6,0,none,17,1542.4,1047.2,495.2,213863,multifamily housing
10023,1010210001,1085498,810,8 avenue,manhattan,10019,yes,in compliance,142.7,140.4,227.5,225.7,65.2,abs,2,3857.5,2488.2,1369.3,444104,multifamily housing
10024,1009390028,1086501,347,east 33 street,manhattan,10016,yes,in compliance,96.3,0,174,0,44.63,abs,15,1160,620.1,539.9,186206,multifamily housing
10025,4000190019,4439033,4-75,48 avenue,queens,11109,yes,in compliance,77.7,74.9,127.9,125.4,38.45,abs,53,2810.6,1729.5,1081.1,587185,multifamily housing
10026,3020490002,3393888,343,gold street,brooklyn,11201,yes,in compliance,105.2,101.2,162.2,158,0,none,19,3785,2554.8,1230.2,598359,multifamily housing
10027,1000280012,1000833,76,beaver street,manhattan,10005,yes,in compliance,113.4,107.3,222.6,215,0,none,0,771.7,0,771.7,93390,other
10028,1008010071,1015028,152,west 26 street,manhattan,10001,yes,in compliance,125.2,122.7,243.7,240.8,0,none,49,989.9,455.3,534.6,120000,other
10029,1005157502,1008013,149,wooster street,manhattan,10012,yes,in compliance,67.5,66.7,150.3,149.4,0,none,0,247.6,82.2,165.4,52500,multifamily housing
