"NYC Borough, Block, and Lot (BBL)",Reported NYC Building Identification Numbers (BINs),Street Number,Street Name,Borough,Zip Code,BBL on the Covered Buildings List,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),Primary Property Type - Self Selected
4002140016,4003101,    36-02,NORTHERN BOULEVARD  ,QUEENS,11101,Yes,In Compliance ,5.7,5.7,18,18,0.8,Manual,null,45.7,0,45.7,"96,000",Self-Storage Facility
4002140021,4003102,    36-20,NORTHERN BOULEVARD  ,QUEENS,11101,Yes,In Compliance ,54.2,50.6,68.1,64.3,1.75,Manual,null,205.1,175.2,29.9,"67,500",Self-Storage Facility
3086900091,3245104,500,BRIGHTWATER COURT   ,BROOKLYN            ,11235,Yes,In Compliance ,91.5,89.9,130.7,128.9,50.6,ABS,null,991.5,737.6,253.9,"185,174",Multifamily Housing
1011450061,1030038,287,AMSTERDAM AVENUE    ,MANHATTAN,10023,Yes,In Compliance ,76.5,74.6,125.8,123.8,60.57,ABS,81,542.2,334.7,207.4,"115,000",Multifamily Housing
3081340001,3228744,"10,101",EAST 101 STREET     ,BROOKLYN            ,11236,Yes,In Compliance ,22.4,22.4,38,38,null,None,90,474.5,279.6,194.9,"340,000",Non-Refrigerated Warehouse
1003360005,1088884,15,BIALYSTOKER PLACE   ,MANHATTAN,10002,Yes,In Compliance ,76.1,73.4,117,113.7,null,None,85,448.1,304,144.1,"98,000",Multifamily Housing
4041170001,4430323,    15-01, 131 STREET         ,QUEENS,11356,Yes,In Compliance ,54.8,53.8,135.7,135.2,null,None,83,447,103,344,"111,000",Wholesale Club/Supercenter
3006250080,3008890,568,HAMILTON AVENUE     ,BROOKLYN            ,11232,Yes,In Compliance ,60.7,60.2,162.8,162.3,null,None,74,626.1,95.8,530.3,"135,000",Wholesale Club/Supercenter
4025540055,4530826,    57-22,  57 AVENUE         ,QUEENS,11378,Yes,In Compliance ,94.7,91.6,226.1,221.5,null,None,47,515.3,136.4,379,"75,373",Wholesale Club/Supercenter
2026060030,2116544,"1,110",OAK POINT AVENUE    ,BRONX               ,10474,Yes,In Compliance ,65.1,64.7,186.8,186.4,null,None,67,"1,027.9",89.1,938.9,"199,682",Wholesale Club/Supercenter
